row_id,split,term_zh,explanation_zh,meaning_en,equivalent_en,distractor_literal_en,distractor_cultural_mismatch_en,distractor_pragmatic_neighbor_en,harmful_label,category_label
24,train,冤种,东北方言，本身意思是因蒙受冤屈而闷闷不乐的人，是贬义词。作为网络流行语，现在一般是指做了傻事的人，即冤大头、倒霉鬼等。,"“Yuanzhong” is a self-mocking or teasing label for someone who does something foolish, has bad luck, or ends up being taken advantage of, often with a sense of being the unlucky fool in a situation.",poor sap,wronged seed,scapegoat,sitting duck,harmful,Slang
25,test,钓系,网络流行语，是形容词，指一个人很有诱惑力，很吸引人，很勾人，可以牢牢的钓住其他人。,"Describes someone who is subtly seductive and alluring, able to draw people in and make them feel emotionally or romantically hooked without being overly direct.",subtly seductive and alluring,fishing type,catfish,smooth talker,non-harmful,Stylistic device
26,train,鸟语,是指难懂的言语，大多表示“不是人话”的意思,"Speech or writing that sounds unintelligible, nonsensical, or not like normal human language, often used to dismiss something as so hard to understand that it feels unlike ordinary human communication.",gibberish,bird language,for the birds,technical jargon,harmful,Stylistic device
27,train,装十三,网络流行语，委婉的骂人用语，就是装B的意思。,"It means acting pretentious or showing off, especially by trying to appear cooler, richer, smarter, or more important than one really is, often as a mocking or mildly insulting description.",put on airs,pretend to be thirteen,act your age,try too hard,harmful,Homophonic pun
28,test,脑子是个好东西,网络流行词，该词的完整说法是“脑子是个好东西，希望每个人都能有”，中心思想形容“没脑子”，是高级讽刺人没脑子的话,"This meme is a sarcastic insult implying that having a brain is valuable and that the target seems brainless, foolish, or lacking basic judgment.",A brain is a wonderful thing—wish everyone had one,the brain is a good thing,no-brainer,think before you speak,harmful,Experience
29,train,尬黑,网络流行词，指为了抹黑而抹黑，毫无理由根据的黑。多用于形容黑粉鸡蛋里挑骨头，编造事实的行为。由于此种行为常常使得场面尴尬，因此称之为“尬黑”。,"It means baselessly hating on someone just to smear them, often by nitpicking, exaggerating flaws, or making things up in a way that feels forced and awkward.",hating just to hate,awkwardly blacken,black comedy,throwing shade,non-harmful,Stylistic device
30,train,非酋,网络流行语，字面解释为非洲部落酋长。常被网友代指运气最不好的人，脸特别黑以至于成为最倒霉的那一个，多用来自嘲。,"A self-deprecating label for someone with terrible luck, especially in gacha games or random draws, implying they are consistently the unluckiest person when chance or randomness is involved.",RNG-cursed,African chief,black sheep,Bad Luck Brian,non-harmful,Stylistic device
31,train,中央空调,暗指这个男生不管是有意还是无意、主动还是被动的跟很多女生保持着剪不断理还乱暧昧不清的意思。,"A ""central air conditioner"" is a man who acts warm, caring, or romantically ambiguous toward many women at the same time, whether intentionally or not, leaving multiple relationships feeling unclear and emotionally entangled.",serial flirt,central air conditioner,warm guy,love bomber,harmful,Stylistic device
32,train,开口跪,网络语，用于说话人听到他人开始发言或唱歌时，表达说话人被震惊、出乎意料的感受,"The meme means being instantly amazed or blown away the moment someone starts speaking or singing, often because their voice is unexpectedly impressive or far better than expected.",blew me away,kneel as soon as they open their mouth,open mic,drop the mic,non-harmful,Stylistic device
33,train,手癌,网络用语，并不是指一种疾病，而是指在网络平台（更多指新浪微博）上经常打错字或者手滑发错表情的一种现象。,"“Hand cancer” is a joking label for constantly making typos, mistaps, or sending the wrong emoji or message online because of clumsy typing or careless finger slips.",fat-finger typo,hand cancer,carpal tunnel syndrome,autocorrect fail,non-harmful,Stylistic device
34,train,活久见,网络流行用语，一般是指“活的时间久什么事都可能见到”，意思就是活的久了啥稀奇古怪的事都可以见，在看到某些你以为不会发生但是发生了的事的时候或者其他时候用。,"Used to express shock or disbelief when witnessing something bizarre, rare, or unexpected, implying that after living long enough, one may eventually see almost anything happen.",now I’ve seen everything,live long enough to see it,you live and learn,stranger things have happened,non-harmful,Abbreviation
35,train,小黄油,网络用语，本义为一种食品，在网络上通常为黄色游戏的简称（黄游）,"This term refers to low-budget erotic or adult-themed games, often visual novels or galgame-style titles, with an informal tone that highlights their niche, cheaply made, or unserious reputation online.",eroge,little butter,yellow game,dating sim,non-harmful,Homophonic pun
36,train,斩男,形容男生轻易看不出装扮迹象，只是莫名觉得好温柔，好可爱而无法抗拒的风格。,"It describes a soft, natural-looking, cute, and gentle style that appears effortless rather than obviously made up, making men find it especially attractive or hard to resist.",guy-magnet look,cut down men,lady-killer,girl-next-door,non-harmful,Stylistic device
37,train,阴阳人,指说话阴阳怪气的人,"A “yin-yang person” refers to someone who speaks in a snide, sarcastic, or passive-aggressive way, often making veiled jabs instead of saying things directly.",passive-aggressive person,yin-yang person,two-faced,throwing shade,harmful,Stylistic device
38,train,烧杯,作为网络用语，就是sb的意思，多用于辱骂别人，属于一种粗俗用语，在网络上有些人骂人用煞笔，为了怕被和谐掉就用烧杯来代替，如果说女生烧杯多指烧B的意思。,"This vulgar homophonic slang substitutes for “SB” as an insult meaning someone is stupid or contemptible, and in some gendered uses it can also carry misogynistic sexual insult meanings.",stupid cunt,beaker,Karen,SOB,harmful,Homophonic pun
39,train,勺男,是指傻男的意思，说一个人“勺”的意思是这个人很傻，很愚蠢的意思。,"This is a mocking term for a man who is considered stupid, foolish, or clueless, used to ridicule someone for acting dumb or lacking common sense.",dumbass dude,spoon man,ladle guy,himbo,harmful,Homophonic pun
40,train,杠精,网络语，贬义词，顾名思义，就是喜欢抬杠习惯性抬杠，喜欢抬杠都成精了，并以此为主要消遣娱乐方式的人统一尊称为“杠精”，指那些不讲逻辑的人，喜欢没事儿找事，为杠而杠，故意唱反调，故意刷存在感更擅用攻击性的语言，常常带有挑衅的倾向。,"Someone who argues for the sake of arguing, nitpicks everything, and deliberately takes the opposite side to provoke others, often using illogical or aggressive comments simply to stir conflict and draw attention.",contrarian troll,bar spirit,raise the bar,devil’s advocate,harmful,Experience
41,train,老默，我想吃鱼了,出自电视剧《狂飙》里的台词，我想吃鱼了指的是想干掉某人的意思。简单的一句话却将恶狠狠的感觉表露出来，而该梗也因为适配度过高，在抖音上被网友们当做发泄气愤事件的调侃走红，这个梗在抖音上被大家广泛使用，甚至做成了表情包在聊天中使用，如果大家在遇到非常气愤的事情时，想要宣泄自己的情绪，就可以用这个梗来表达。,"This phrase is used as a coded, darkly humorous way to vent anger, implying that someone is so irritating or hated that the speaker jokingly wants them “dealt with” or taken out.",make him sleep with the fishes,"Lao Mo, I want to eat fish",I’m craving fish,blow off steam,non-harmful,Quotation
42,test,为爱鼓掌,网络用语，该词隐晦地指发生男女关系。,"It is a playful euphemism for having sex, used to refer to sexual activity in a joking, indirect, or deliberately coy way.",do the deed,clap for love,love wins,make out,non-harmful,Stylistic device
43,train,吃饭坐小孩那桌,意思讽刺这个人比较怂，吃饭只能做小孩那桌。,"A mocking phrase used to say someone is timid, immature, or lacks the courage and confidence expected of an adult, as if they only belong at the children’s table during a meal.",go sit at the kids’ table,eat dinner with a child,kids’ meal,chicken out,harmful,Stylistic device
44,train,国男,这个词，是带有贬义的，群体歧视用词。“国男”就是一些极端“女权”主义对我国男性的贬称。,"This term is a derogatory online label targeting Chinese men as a group, often used in gender-hostile discourse to express contempt or broad negative stereotypes toward them.","Chinese men, used derogatorily",national man,countryman,Chinese guy,harmful,Abbreviation
45,train,卡了米,是电视剧或者电影里的群众演员，指是那些辅助剧情发展需要，一闪而过的小角色，意思同“路人甲”。,"A “kale mi” is a minor background character or extra who appears briefly and only serves to move the scene along, like an unnamed passerby with no real importance to the story.",background extra,stuck rice,calamari,cameo,non-harmful,Homophonic pun
46,train,海克斯科技,指通过现代技术制造的一些人工合成/制造产品，如人工牛肉、人工美女、人工食品、人工牛排等，其意思是在生活中表达某件事物科技含量很高，一般有调侃的意味。,"A joking label for something that feels artificially made, over-engineered, synthetic, or suspiciously high-tech rather than natural, often used to tease products or appearances that seem manufactured through modern technology.",straight out of a lab,Hextech technology,high-tech gadget,Frankenfood,non-harmful,Quotation
47,train,尼哥,英文单词“nigger”的音译，是对黑人的贬义和侮辱性称呼。,"This term is a Chinese phonetic rendering of the N-word and is used as an offensive racial slur targeting Black people, carrying strongly derogatory and insulting connotations.",nigger,Brother Ni,Black guy,Negro,harmful,Homophonic pun
48,train,浪里小白龙,是指阅女无数的情场老手。,"A joking or mocking term for a man who is highly experienced with women, has dated or pursued many women, and is seen as knowing exactly how to navigate romance and flirtation.",player,little white dragon in the waves,white knight,smooth talker,non-harmful,Slang
49,train,粉切黑,这个词的完全版是“粉红的切开来里面都是黑的”，用于形容一些看似可爱软萌的角色内在却是腹黑病娇。,"It describes someone or a character who appears sweet, cute, soft, and innocent on the outside, but is secretly dark, twisted, manipulative, or scheming underneath.",cute but psycho,"pink outside, black inside",Blackpink,cinnamon roll,non-harmful,Abbreviation
50,train,打太极,就是说话兜兜转转，比如要逃避重点，有什么不可告人的事情，推诿拖拉推卸责任。,"It means to avoid giving a direct answer, dodge the main issue, delay things, or shift responsibility by speaking vaguely, going in circles, and deflecting attention from what really needs to be addressed.",give someone the runaround,practice Tai Chi,shadowboxing,stall for time,non-harmful,Slang
51,train,李姐万岁,网络词，谐音梗，理解万岁的谐音,"A playful homophonic phrase used to mean “thanks for understanding” or “understanding is everything,” often said jokingly to appreciate someone being reasonable, forgiving, or willing to see the speaker’s point of view.",thanks for understanding,Long live Sister Li,All hail Li Jie,I feel seen,non-harmful,Homophonic pun
52,test,人参公鸡,人身攻击的谐音。,"This phrase is a homophonic meme for “personal attack,” meaning attacking someone’s character, identity, or personal traits instead of responding to the actual issue being discussed.",personal attack,ginseng rooster,ginseng chicken soup,roast someone,non-harmful,Homophonic pun
53,train,日子人,一种讽刺的说法，只要在小圈子里有舒适的生活就不去在意大环境的变化，他们安慰自己只要过好自己的小日子就好了，对生活百般妥协，逆来顺受、服从生活的人，被称为“日子人”。,"A mocking label for someone who focuses only on maintaining their own comfortable daily life, ignores broader social problems or changes, and passively compromises with circumstances instead of questioning or resisting them.",head-in-the-sand conformist,days person,homebody,go with the flow,harmful,Experience
54,train,麻瓜,代表一个人特别的笨拙和愚蠢，这是一种贬义词，它通常用来称呼那些对某些领域或技能缺乏经验或知识的人，或者形容一个人做事让人感觉滑稽可笑,"It is a mocking term for someone who seems foolish, clumsy, inexperienced, or clueless in a certain area, often used to laugh at a person’s lack of skill or awkward behavior.",clueless noob,numb melon,mudblood,klutz,harmful,Quotation
55,test,我的 DNA 动了,因为某些内容观看次数过多，已经深深记住，仿佛是刻在了自己的DNA里一样。,"A familiar scene, sound, or piece of content suddenly activates a deeply ingrained memory or emotional reaction because it has been seen so often that it feels embedded in one’s very being.",core memory unlocked,my DNA moved,it’s in my DNA,déjà vu,non-harmful,Stylistic device
56,train,book思议,同不可思议，指无法想象，难以理解。,"It means something is unbelievable, unimaginable, or hard to make sense of, describing a situation or idea that feels too surprising, strange, or confusing to easily understand.",beyond belief,book thinking,by the book,book smart,non-harmful,Homophonic pun
57,test,小镇做题家,指的是出身于十八线小城市或者县城、乡镇的穷学生，埋头苦读，缺乏一定视野和资源，最终通过自己的努力考入名校的青年学子。,"A “small-town exam achiever” is a young person from an under-resourced small town who studies relentlessly, excels at exams, and uses education for upward mobility, while often lacking broader social resources or cultural capital.",small-town exam achiever,small-town problem solver,Ivy League legacy kid,bookworm,harmful,Experience
58,train,泼天的富贵,字面意思指的是极为巨大、无可比拟的财富、权势和地位，从天而降的荣华富贵，网上流传以后带有一丝调侃在里面。形容一种突如其来的巨大关注度，往往伴随着荣耀和成果。,"It describes a sudden, overwhelming stroke of luck, fame, attention, or success that seems to fall into one’s lap, often with a slightly joking tone about unexpected glory or rewards.",hit the jackpot,wealth pouring from the sky,filthy rich,going viral,non-harmful,Experience
59,train,老登,又被戏称为老毕登，是一个带有贬义的东北方言词汇，用来形容那些老流氓、老色鬼、老东西、老家伙、老而不尊以及老不死的人。它用来形容那些不受尊重的老年人或者那些令人讨厌的中老年男性。,"A derogatory term for a disrespectful, creepy, or unpleasant older man, often implying he is sleazy, shameless, morally gross, or failing to behave with the dignity expected of his age.",creepy old geezer,old climber,old-timer,dirty old man,harmful,Slang
60,train,佛系,网络流行语，是一种追求自己内心平和、淡然的活法和生活方式，主要意思是指无欲无求、不悲不喜、云淡风轻而追求内心平和的生活态度。,"It describes a calm, low-desire, non-competitive attitude toward life, where someone does not force outcomes, avoids strong emotional highs or lows, and focuses on staying peaceful and unbothered.",chill and unbothered,Buddhist style,Zen master,couch potato,non-harmful,Quotation
61,train,树洞,作为一个新兴词语，在现代生活中又赋予了其一个新的理解，那就是吐露心声的地方，可以信任诉说秘密的地方。比如你有某些想法或者秘密，但是在现实生活中又没有能说出口的对象，只能暗自用别的途径讲出来， 比如在网上发帖、写日志什么的，这些地方就叫做网络树洞，如果一个异性把你当树洞，那么就成了倾诉的对象。,"A ""tree hole"" refers to a trusted place or person where someone can safely vent, confess secrets, or pour out private thoughts, especially when they have no one in real life to tell.",safe space,tree hole,treehouse,echo chamber,non-harmful,Quotation
62,test,查水表,是一个网络流行用语，在网络上一般用来警告某人做了在当时场景下的危险行为（多为敏感），需要小心。也指jc或执法部门在实施抓捕之前，使抓捕对象放松警惕的常见套路。,"It is a joking warning that someone may get in trouble or attract law-enforcement attention for saying or doing something sensitive or risky, often implying authorities might show up under a harmless pretext.","FBI, open up!",check the water meter,meter reader,SWATting,non-harmful,Quotation
63,train,软件硬化工程师,是对失足女的美称/暗语/黑话,"A coded or euphemistic term for a female sex worker, phrased like a technical job title to disguise the sexual meaning and make the reference sound innocuous.",lady of the night,software hardening engineer,cybersecurity engineer,adult entertainer,harmful,Stylistic device
64,train,弱鸡,原义指很柔弱的小鸡，网络用语中指体质或某些方面不擅长的人，形容男人的身体形似女人，不强壮，瘦的跟猴似的，体质差，身材纤细。或者那些表现不如其他人的人，特别是那些在某些方面缺乏体力、智力、技能或经验的人。现在弱鸡一般为网络用语或在游戏中使用，形容某个人游戏水平很菜，和菜鸡、菜鸟同义，算是骂人的话。,"It is a mocking term for someone seen as physically weak, useless, inexperienced, or unskilled, especially a player who performs badly in games.",weak noob,weak chicken,chicken,tryhard,harmful,Stylistic device
65,train,people娘魔法披风 / People孃魔法披风,四川、重庆方言，是“批婆娘，莫发批疯”的谐音，典型的骂人的话，一般说来是男人骂女人的话，或者自己老公骂老婆的话，请大家在川蜀一带慎用。,"This phrase is a vulgar Sichuan-Chongqing homophonic insult aimed at women, roughly meaning “stop acting crazy” or “stop making a scene,” often used by men toward women or husbands toward wives.",stop acting like a crazy bitch,People girl’s magic cloak,magic cape,crazy woman,harmful,Homophonic pun
66,train,花瓶,网络用语，指那些除了脸蛋、外貌好看之外一无是处的女性，他们像花瓶一样，除了用来观赏，一无是处，用来形容容貌出众但智力和才华欠缺的女性。,"A derogatory label for a woman who is valued only for her looks, implying that she is decorative but otherwise useless and assumed to lack talent, intelligence, or real substance.",bimbo,vase,trophy wife,pretty privilege,harmful,Stylistic device
67,train,爷青结,是“爷的青春结束了”的缩写，指的是长久或者是年轻时喜欢、关注的人或者事物结束了，用于感叹事物的变化，也有用来嘲讽一些违背正常规律发生的事，类似的还有“爷青回”等流行词汇，指的是记忆中的事物恢复了。,"It expresses the feeling that something connected to one’s youth, memories, or long-term emotional attachment has ended, often with nostalgia, sadness, or a sense of time passing.",my youth is over,game over,youth is wasted on the young,nostalgia hit me hard,non-harmful,Abbreviation
68,train,万金油,指人或物在任何情况下都可起到作用，有“无所不能”“通吃”的意思，比喻什么都不精通、但什么都懂一点、什么都能应付一气的人。,"A “jack-of-all-trades” person or thing that can handle many situations by knowing or doing a bit of everything, but is not highly specialized or deeply expert in any one area.",jack of all trades,golden oil,Midas touch,Renaissance man,non-harmful,Slang
69,train,阔耐,网络语，可爱的意思,"It is a playful, cutesy way to say that someone or something is cute or adorable, often adding a lighthearted, affectionate tone to the compliment.",adorbs,wide and durable,tough cookie,cutesy talk,non-harmful,Homophonic pun
70,train,磨豆浆,暗指男女的行为的最终结果，或男生自己自慰行为的最终结果。,"A vulgar euphemism for male sexual activity or masturbation, especially implying ejaculation as the eventual or intended outcome.",rub one out,grind soybeans,make soy milk,do the deed,non-harmful,Stylistic device
71,train,九十度青年,网络流行词，用来形容每次去社交场合找地方坐的时候，只想找一个角落坐下，只有隐身在九十度的角落里，才有安全感的人。,"A ""ninety-degree youth"" is someone who feels safest and most comfortable hiding in a quiet corner at social events, avoiding the center of attention and seeking security by staying out of sight.",wallflower,ninety-degree youth,corner office,introvert,non-harmful,Experience
72,train,绿茶男,指通过装无辜、装特别、博同情、贬低同性或迎合他人来获得关注和好感的男性,"A green tea man is a manipulative man who acts innocent, gentle, or harmless while secretly flirting, playing victim, seeking sympathy, or stirring up emotional drama to gain attention and affection.",male pick-me who plays innocent,green tea lover,cinnamon roll,fuckboy,harmful,Stylistic device
73,train,你就是个弟弟,网络流行词，意思是你不行，你还很嫩。,"This is a mocking phrase used to tell someone they are not good enough, are still inexperienced or immature, and are clearly below your level in ability, status, or confidence.",You're not on my level,You're just a little brother,Big Brother is watching you,You're acting like a baby,harmful,Slang
74,train,野猪行为,网络流行词，形容人某些行为像是野猪会做出来的举动一样，非常蛮横无理。也可以理解为：这种行为过分的不像人干的事！表示对对方的行为表示愤怒。,"A mocking expression used to criticize someone’s behavior as rude, aggressive, unreasonable, or wildly uncivilized, implying that their actions are so crude and excessive that they seem barely human.",acting feral,wild boar habits,pig out,throwing a tantrum,non-harmful,Stylistic device
75,train,找个班上吧,用于调侃那些做啥啥不行的人，或者表示对某人的行为很无语，实在不行去找个班上吧。,"A mocking phrase telling someone they seem useless, embarrassing, or far too idle, implying that they should stop wasting time and go find a job or do something productive.",go get a real job,find a class to attend,go to work,touch grass,non-harmful,Stylistic device
76,test,乌鱼子,网络流行语，即无语子，表达无语的意思,"It is a playful homophonic expression used to say someone is speechless, frustrated, or has no words in response to something awkward, annoying, absurd, or difficult to comment on.",I can’t even,mullet roe,bottarga,no comment,non-harmful,Homophonic pun
77,train,绿泡泡,网络用语，指的是微信这个聊天软件,"A playful coded nickname for WeChat, referring to its green chat-bubble icon, used online to mention the messaging app indirectly or humorously without saying its official name.",WeChat,green bubble,green text bubble,WhatsApp,non-harmful,Stylistic device
78,train,抓马,网络流行词，是drama的音译，本意是戏剧、剧本的，也可以指富有戏剧性的情节。,"It describes a situation that feels dramatic, exaggerated, messy, or full of conflict, often unfolding like a scene from a television show or scripted drama.",drama,catch a horse,theater,plot twist,non-harmful,Homophonic pun
79,train,马路大,是侵华日军“七三一”细菌部队对那些被迫接受人体实验的受害者的侮辱性称呼。马路大是日语“丸太（maruta）”一词的音译，在日语中意为“圆木”，引申意思为“试验品”。,"A dehumanizing wartime code word used by Unit 731 to refer to victims of forced human experimentation as “logs,” reducing them to disposable test subjects rather than recognizing them as people.",Maruta,big road,log,guinea pig,harmful,Homophonic pun
80,train,铁憨憨,网络流行语，指的是傻傻的愣头青、二愣子的意思，常被用来调侃他人傻又楞。,"A teasing label for someone who comes across as silly, slow-witted, blunt, or a bit clueless, usually used to poke fun at them in a light or endearing way.",lovable idiot,iron dummy,Iron Man,himbo,harmful,Slang
